role,sheet,code,source,raw,seg_type,text
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-BGH-GV,Phân kì nội trường,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.,analyst,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-BGH-GV,Mức độ bằng chứng,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-BGH-GV,Diễn giải học thuật,"Đối chiếu GV cho thấy bgh – gv có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy bgh – gv có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-MIDDLE-GV,Điểm hội tụ liên trường,Chưa có dữ liệu trực tiếp ở bốn trường có nguồn GV.,analyst,Chưa có dữ liệu trực tiếp ở bốn trường có nguồn GV.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-MIDDLE-GV,Điểm phân kì liên trường,Chưa có dữ liệu; TrD không có nguồn GV trong toàn bộ bộ dữ liệu.,analyst,Chưa có dữ liệu; TrD không có nguồn GV trong toàn bộ bộ dữ liệu.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-MIDDLE-GV,Diễn giải học thuật,"Đối chiếu GV cho thấy quản lý cấp trung – gv có độ phủ 0/5 trường, tương ứng 0/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy quản lý cấp trung – gv có độ phủ 0/5 trường, tương ứng 0/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TWOWAY,Điểm hội tụ liên trường,"TrB, TrC và TrE đều xác nhận có cơ hội giao tiếp hai chiều.",analyst,"TrB, TrC và TrE đều xác nhận có cơ hội giao tiếp hai chiều."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TWOWAY,Điểm phân kì liên trường,Hai chiều về phát biểu không đồng nghĩa hai chiều về ảnh hưởng; TrB phản ánh rõ tình trạng hai bên nói nhưng không lắng nghe.,analyst,Hai chiều về phát biểu không đồng nghĩa hai chiều về ảnh hưởng; TrB phản ánh rõ tình trạng hai bên nói nhưng không lắng nghe.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TWOWAY,Loại quan hệ so sánh,Hội tụ về kênh + phân kì về ảnh hưởng,analyst,Hội tụ về kênh + phân kì về ảnh hưởng
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TWOWAY,Mức độ bằng chứng,Khá (3/5 trường; 8/9 nguồn GV; TrD 0 nguồn),analyst,Khá (3/5 trường; 8/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TWOWAY,Diễn giải học thuật,"Cần phân biệt cơ hội nói, chất lượng lắng nghe và khả năng tiếng nói chuyển thành quyết định.",analyst,"Cần phân biệt cơ hội nói, chất lượng lắng nghe và khả năng tiếng nói chuyển thành quyết định."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-ONEDIR,Điểm hội tụ liên trường,"3/4 trường có nguồn GV cùng đề cập một chiều, cho thấy hội tụ một phần.",analyst,"3/4 trường có nguồn GV cùng đề cập một chiều, cho thấy hội tụ một phần."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-ONEDIR,Điểm phân kì liên trường,Trường còn lại không có trích dẫn trực tiếp; không xem là quan điểm đối lập.,analyst,Trường còn lại không có trích dẫn trực tiếp; không xem là quan điểm đối lập.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-ONEDIR,Phân kì nội trường,TrB: một phần; TrE: một phần,analyst,TrB: một phần; TrE: một phần
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-ONEDIR,Mức độ bằng chứng,Khá (3/5 trường; 5/9 nguồn GV; TrD 0 nguồn),analyst,Khá (3/5 trường; 5/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-ONEDIR,Diễn giải học thuật,"Đối chiếu GV cho thấy một chiều có độ phủ 3/5 trường, tương ứng 5/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy một chiều có độ phủ 3/5 trường, tương ứng 5/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-OPEN,Điểm hội tụ liên trường,Cả 4 trường có nguồn GV cùng phản ánh cởi mở còn hạn chế.,analyst,Cả 4 trường có nguồn GV cùng phản ánh cởi mở còn hạn chế.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-OPEN,Điểm phân kì liên trường,"Khác biệt chủ yếu ở mức độ, ví dụ và phạm vi quan sát; TrD không có nguồn GV.",analyst,"Khác biệt chủ yếu ở mức độ, ví dụ và phạm vi quan sát; TrD không có nguồn GV."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-OPEN,Loại quan hệ so sánh,Hội tụ rõ trong 4 trường có dữ liệu,analyst,Hội tụ rõ trong 4 trường có dữ liệu
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-OPEN,Mức độ bằng chứng,Khá (4/5 trường; 6/9 nguồn GV; TrD 0 nguồn),analyst,Khá (4/5 trường; 6/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-OPEN,Diễn giải học thuật,"Đối chiếu GV cho thấy cởi mở có độ phủ 4/5 trường, tương ứng 6/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy cởi mở có độ phủ 4/5 trường, tương ứng 6/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TRANSPARENT,Điểm hội tụ liên trường,"3/4 trường có nguồn GV cùng đề cập minh bạch, cho thấy hội tụ một phần.",analyst,"3/4 trường có nguồn GV cùng đề cập minh bạch, cho thấy hội tụ một phần."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TRANSPARENT,Điểm phân kì liên trường,Trường còn lại không có trích dẫn trực tiếp; không xem là quan điểm đối lập.,analyst,Trường còn lại không có trích dẫn trực tiếp; không xem là quan điểm đối lập.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TRANSPARENT,Phân kì nội trường,TrB: một phần; TrE: một phần,analyst,TrB: một phần; TrE: một phần
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TRANSPARENT,Mức độ bằng chứng,Khá (3/5 trường; 6/9 nguồn GV; TrD 0 nguồn),analyst,Khá (3/5 trường; 6/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-TRANSPARENT,Diễn giải học thuật,"Đối chiếu GV cho thấy minh bạch có độ phủ 3/5 trường, tương ứng 6/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy minh bạch có độ phủ 3/5 trường, tương ứng 6/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-LISTEN,Điểm hội tụ liên trường,2/4 trường có nguồn GV cùng đề cập lắng nghe nhân sự; mẫu hình liên trường còn hạn chế.,analyst,2/4 trường có nguồn GV cùng đề cập lắng nghe nhân sự; mẫu hình liên trường còn hạn chế.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-LISTEN,Điểm phân kì liên trường,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.,analyst,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-LISTEN,Mức độ bằng chứng,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-LISTEN,Diễn giải học thuật,"Đối chiếu GV cho thấy lắng nghe nhân sự có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy lắng nghe nhân sự có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-RESPOND,Điểm hội tụ liên trường,Chỉ TrE có trích dẫn trực tiếp về phản hồi nhân sự tại mã này.,analyst,Chỉ TrE có trích dẫn trực tiếp về phản hồi nhân sự tại mã này.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-RESPOND,Điểm phân kì liên trường,Không đủ cơ sở so sánh liên trường; nội dung gợi ý phản hồi từ lãnh đạo chưa luôn giải thích rõ mục đích hoặc lý do.,analyst,Không đủ cơ sở so sánh liên trường; nội dung gợi ý phản hồi từ lãnh đạo chưa luôn giải thích rõ mục đích hoặc lý do.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-RESPOND,Phân kì nội trường,Không thể đánh giá phân kì nội trường vì chỉ 1/2 GV TrE có dữ liệu.,analyst,Không thể đánh giá phân kì nội trường vì chỉ 1/2 GV TrE có dữ liệu.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-RESPOND,Mức độ bằng chứng,Yếu (1/5 trường; 1/9 nguồn GV; TrD 0 nguồn),analyst,Yếu (1/5 trường; 1/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-RESPOND,Diễn giải học thuật,Không khái quát khoảng trống phản hồi cho toàn nhóm chỉ từ mã này; cần đọc cùng QA-FEEDBACK-LOOP và PART-VOICE.,analyst,Không khái quát khoảng trống phản hồi cho toàn nhóm chỉ từ mã này; cần đọc cùng QA-FEEDBACK-LOOP và PART-VOICE.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-BARRIER,Điểm hội tụ liên trường,2/4 trường có nguồn GV cùng đề cập rào cản giao tiếp; mẫu hình liên trường còn hạn chế.,analyst,2/4 trường có nguồn GV cùng đề cập rào cản giao tiếp; mẫu hình liên trường còn hạn chế.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-BARRIER,Điểm phân kì liên trường,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.,analyst,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-BARRIER,Mức độ bằng chứng,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-BARRIER,Diễn giải học thuật,"Đối chiếu GV cho thấy rào cản giao tiếp có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy rào cản giao tiếp có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-CONFLICT,Điểm hội tụ liên trường,Chưa có dữ liệu trực tiếp ở bốn trường có nguồn GV.,analyst,Chưa có dữ liệu trực tiếp ở bốn trường có nguồn GV.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-CONFLICT,Điểm phân kì liên trường,Chưa có dữ liệu; TrD không có nguồn GV trong toàn bộ bộ dữ liệu.,analyst,Chưa có dữ liệu; TrD không có nguồn GV trong toàn bộ bộ dữ liệu.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-CONFLICT,Diễn giải học thuật,"Đối chiếu GV cho thấy xung đột có độ phủ 0/5 trường, tương ứng 0/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy xung đột có độ phủ 0/5 trường, tương ứng 0/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT,Điểm hội tụ liên trường,Chỉ TrB có dữ liệu trực tiếp về phụ huynh.,analyst,Chỉ TrB có dữ liệu trực tiếp về phụ huynh.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT,Điểm phân kì liên trường,Chưa đủ cơ sở so sánh liên trường.,analyst,Chưa đủ cơ sở so sánh liên trường.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT,Mức độ bằng chứng,Yếu (1/5 trường; 2/9 nguồn GV; TrD 0 nguồn),analyst,Yếu (1/5 trường; 2/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT,Diễn giải học thuật,"Đối chiếu GV cho thấy phụ huynh có độ phủ 1/5 trường, tương ứng 2/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy phụ huynh có độ phủ 1/5 trường, tương ứng 2/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-LISTEN,Điểm hội tụ liên trường,2/4 trường có nguồn GV cùng đề cập lắng nghe phụ huynh; mẫu hình liên trường còn hạn chế.,analyst,2/4 trường có nguồn GV cùng đề cập lắng nghe phụ huynh; mẫu hình liên trường còn hạn chế.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-LISTEN,Điểm phân kì liên trường,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.,analyst,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-LISTEN,Mức độ bằng chứng,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-LISTEN,Diễn giải học thuật,"Đối chiếu GV cho thấy lắng nghe phụ huynh có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy lắng nghe phụ huynh có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-RESPOND,Điểm hội tụ liên trường,2/4 trường có nguồn GV cùng đề cập phụ huynh – phản hồi; mẫu hình liên trường còn hạn chế.,analyst,2/4 trường có nguồn GV cùng đề cập phụ huynh – phản hồi; mẫu hình liên trường còn hạn chế.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-RESPOND,Điểm phân kì liên trường,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.,analyst,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-RESPOND,Phân kì nội trường,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.,analyst,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-RESPOND,Mức độ bằng chứng,Trung bình (2/5 trường; 2/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (2/5 trường; 2/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-RESPOND,Diễn giải học thuật,"Đối chiếu GV cho thấy phụ huynh – phản hồi có độ phủ 2/5 trường, tương ứng 2/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy phụ huynh – phản hồi có độ phủ 2/5 trường, tương ứng 2/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-DIALOGUE,Điểm hội tụ liên trường,"3/4 trường có nguồn GV cùng đề cập đối thoại với phụ huynh, cho thấy hội tụ một phần.",analyst,"3/4 trường có nguồn GV cùng đề cập đối thoại với phụ huynh, cho thấy hội tụ một phần."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-DIALOGUE,Điểm phân kì liên trường,Trường còn lại không có trích dẫn trực tiếp; không xem là quan điểm đối lập.,analyst,Trường còn lại không có trích dẫn trực tiếp; không xem là quan điểm đối lập.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-DIALOGUE,Mức độ bằng chứng,Trung bình (3/5 trường; 4/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (3/5 trường; 4/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-DIALOGUE,Diễn giải học thuật,"Đối chiếu GV cho thấy đối thoại với phụ huynh có độ phủ 3/5 trường, tương ứng 4/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy đối thoại với phụ huynh có độ phủ 3/5 trường, tương ứng 4/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PRESSURE,Điểm hội tụ liên trường,"3/4 trường có nguồn GV cùng đề cập phụ huynh – áp lực, cho thấy hội tụ một phần.",analyst,"3/4 trường có nguồn GV cùng đề cập phụ huynh – áp lực, cho thấy hội tụ một phần."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PRESSURE,Điểm phân kì liên trường,Trường còn lại không có trích dẫn trực tiếp; không xem là quan điểm đối lập.,analyst,Trường còn lại không có trích dẫn trực tiếp; không xem là quan điểm đối lập.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PRESSURE,Phân kì nội trường,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.,analyst,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PRESSURE,Mức độ bằng chứng,Trung bình (3/5 trường; 3/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (3/5 trường; 3/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PRESSURE,Diễn giải học thuật,"Đối chiếu GV cho thấy phụ huynh – áp lực có độ phủ 3/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy phụ huynh – áp lực có độ phủ 3/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PARTNERSHIP,Điểm hội tụ liên trường,2/4 trường có nguồn GV cùng đề cập phụ huynh – partnership; mẫu hình liên trường còn hạn chế.,analyst,2/4 trường có nguồn GV cùng đề cập phụ huynh – partnership; mẫu hình liên trường còn hạn chế.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PARTNERSHIP,Điểm phân kì liên trường,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.,analyst,Hai trường có nguồn còn lại không có trích dẫn trực tiếp.
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PARTNERSHIP,Mức độ bằng chứng,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (2/5 trường; 3/9 nguồn GV; TrD 0 nguồn)
Giáo viên,05_COMMUNICATION_PARTICIPATION,COMM-PARENT-PARTNERSHIP,Diễn giải học thuật,"Đối chiếu GV cho thấy phụ huynh – partnership có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy phụ huynh – partnership có độ phủ 2/5 trường, tương ứng 3/9 nguồn GV. Mẫu hình cần được đánh giá qua vòng giao tiếp: tiếp nhận → giải thích → hành động → thông báo kết quả. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,05_COMMUNICATION_PARTICIPATION,PART,Điểm hội tụ liên trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,05_COMMUNICATION_PARTICIPATION,PART,Điểm phân kì liên trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,05_COMMUNICATION_PARTICIPATION,PART,Phân kì nội trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,05_COMMUNICATION_PARTICIPATION,PART,Loại quan hệ so sánh,Mã nhánh – tổng hợp từ mã con,analyst,Mã nhánh – tổng hợp từ mã con
